speciesKey,species,scientificName,order,family,iucn_code,iucn_category
2474163,Coturnix coromandelica,"Coturnix coromandelica (J.F.Gmelin, 1789)",Galliformes,Phasianidae,LC,LEAST_CONCERN
2489507,Pitta brachyura,"Pitta brachyura (Linnaeus, 1766)",Passeriformes,Pittidae,LC,LEAST_CONCERN
2490671,Galerida deva,"Galerida deva (Sykes, 1832)",Passeriformes,Alaudidae,LC,LEAST_CONCERN
2497525,Strix ocellata,"Strix ocellata (R.Lesson, 1839)",Strigiformes,Strigidae,LC,LEAST_CONCERN
2481047,Falco peregrinus,"Falco peregrinus Tunstall, 1771",Falconiformes,Falconidae,LC,LEAST_CONCERN
2496280,Cacomantis sonneratii,"Cacomantis sonneratii (Latham, 1790)",Cuculiformes,Cuculidae,LC,LEAST_CONCERN
2490317,Dendronanthus indicus,"Dendronanthus indicus (Gmelin, 1789)",Passeriformes,Motacillidae,LC,LEAST_CONCERN
2475924,Ocyceros griseus,"Ocyceros griseus (Latham, 1790)",Bucerotiformes,Bucerotidae,VU,VULNERABLE
2480495,Circus pygargus,"Circus pygargus (Linnaeus, 1758)",Accipitriformes,Accipitridae,LC,LEAST_CONCERN
2474622,Porzana fusca,"Zapornia fusca (Linnaeus, 1766)",Gruiformes,Rallidae,LC,LEAST_CONCERN
2493068,Phylloscopus affinis,"Phylloscopus affinis (Tickell, 1833)",Passeriformes,Phylloscopidae,LC,LEAST_CONCERN
2492921,Dumetia hyperythra,"Dumetia hyperythra (Franklin, 1831)",Passeriformes,Timaliidae,LC,LEAST_CONCERN
5229419,Oceanites oceanicus,"Oceanites oceanicus (Kuhl, 1820)",Procellariiformes,Hydrobatidae,LC,LEAST_CONCERN
5231283,Ficedula superciliaris,"Ficedula superciliaris (Jerdon, 1840)",Passeriformes,Muscicapidae,LC,LEAST_CONCERN
9326020,Gallus gallus,"Gallus gallus (Linnaeus, 1758)",Galliformes,Phasianidae,LC,LEAST_CONCERN
9750846,Oriolus chinensis,"Oriolus chinensis Linnaeus, 1766",Passeriformes,Oriolidae,LC,LEAST_CONCERN
2480514,Aquila rapax,"Aquila rapax (Temminck, 1828)",Accipitriformes,Accipitridae,VU,VULNERABLE
6091832,Sturnia blythii,"Sturnia blythii (Jerdon, 1845)",Passeriformes,Sturnidae,NE,NOT_EVALUATED
5844053,Micropternus brachyurus,"Micropternus brachyurus (Vieillot, 1818)",Piciformes,Picidae,LC,LEAST_CONCERN
9444556,Lanius excubitor,"Lanius excubitor Linnaeus, 1758",Passeriformes,Laniidae,LC,LEAST_CONCERN
8000602,Mareca penelope,"Mareca penelope (Linnaeus, 1758)",Anseriformes,Anatidae,LC,LEAST_CONCERN
2490264,Anthus godlewskii,"Anthus godlewskii (Taczanowski, 1876)",Passeriformes,Motacillidae,LC,LEAST_CONCERN
2480491,Circus macrourus,"Circus macrourus (S.G.Gmelin, 1770)",Accipitriformes,Accipitridae,NT,NEAR_THREATENED
6100882,Geokichla citrina,"Geokichla citrina (Latham, 1790)",Passeriformes,Turdidae,LC,LEAST_CONCERN
2480898,Egretta gularis,"Egretta gularis (Bosc, 1792)",Pelecaniformes,Ardeidae,LC,LEAST_CONCERN
2481776,Arenaria interpres,"Arenaria interpres (Linnaeus, 1758)",Charadriiformes,Scolopacidae,NT,NEAR_THREATENED
5789316,Tyto javanica,"Tyto javanica (J.F.Gmelin, 1788)",Strigiformes,Tytonidae,NE,NOT_EVALUATED
2493618,Lonchura striata,"Lonchura striata (Linnaeus, 1766)",Passeriformes,Estrildidae,LC,LEAST_CONCERN
2481685,Limosa limosa,"Limosa limosa (Linnaeus, 1758)",Charadriiformes,Scolopacidae,NT,NEAR_THREATENED
2480824,Butorides striata,"Butorides striata (Linnaeus, 1758)",Pelecaniformes,Ardeidae,LC,LEAST_CONCERN
7537888,Calidris falcinellus,"Calidris falcinellus (Pontoppidan, 1763)",Charadriiformes,Scolopacidae,VU,VULNERABLE
6065833,Thalasseus bengalensis,"Thalasseus bengalensis (R.Lesson, 1831)",Charadriiformes,Laridae,LC,LEAST_CONCERN
5739357,Iduna rama,"Iduna rama (Sykes, 1832)",Passeriformes,Acrocephalidae,LC,LEAST_CONCERN
5844449,Aquila fasciata,"Aquila fasciata Vieillot, 1822",Accipitriformes,Accipitridae,LC,LEAST_CONCERN
2480696,Neophron percnopterus,"Neophron percnopterus (Linnaeus, 1758)",Accipitriformes,Accipitridae,EN,ENDANGERED
2498001,Sarkidiornis melanotos,"Sarkidiornis melanotos (Pennant, 1769)",Anseriformes,Anatidae,LC,LEAST_CONCERN
5227907,Francolinus pictus,"Francolinus pictus (Jardine & Selby, 1828)",Galliformes,Phasianidae,LC,LEAST_CONCERN
2498036,Anser anser,"Anser anser (Linnaeus, 1758)",Anseriformes,Anatidae,LC,LEAST_CONCERN
2480743,Cursorius coromandelicus,"Cursorius coromandelicus (J.F.Gmelin, 1789)",Charadriiformes,Glareolidae,LC,LEAST_CONCERN
2481740,Calidris temminckii,"Calidris temminckii (Leisler, 1812)",Charadriiformes,Scolopacidae,LC,LEAST_CONCERN
2482029,Rostratula benghalensis,"Rostratula benghalensis (Linnaeus, 1758)",Charadriiformes,Rostratulidae,LC,LEAST_CONCERN
2480259,Recurvirostra avosetta,"Recurvirostra avosetta Linnaeus, 1758",Charadriiformes,Recurvirostridae,LC,LEAST_CONCERN
9509689,Caprimulgus indicus,"Caprimulgus indicus Latham, 1790",Caprimulgiformes,Caprimulgidae,LC,LEAST_CONCERN
2473356,Perdicula asiatica,"Perdicula asiatica (Latham, 1790)",Galliformes,Phasianidae,LC,LEAST_CONCERN
2475365,Coracias garrulus,"Coracias garrulus Linnaeus, 1758",Coraciiformes,Coraciidae,LC,LEAST_CONCERN
5231007,Monticola cinclorhynchus,"Monticola cinclorhynchus (Vigors, 1832)",Passeriformes,Muscicapidae,LC,LEAST_CONCERN
2482081,Anhinga melanogaster,"Anhinga melanogaster Pennant, 1769",Suliformes,Anhingidae,LC,LEAST_CONCERN
