speciesKey,state,direction,month,obs_count,mean_lat,mean_lon,individual_sum
2480998,karnataka,S,4,6,15.3748965,74.98341916666668,6
7342065,karnataka,S,10,24,13.522811500000003,77.42064666666666,32
5789152,karnataka,S,1,31,12.852421935483866,75.09025932258061,44
2482003,karnataka,S,12,19,12.897096105263163,74.59112999999999,19
9465111,karnataka,S,4,32,13.193245562499998,75.399903375,48
2481207,karnataka,S,1,10,15.165877700000001,76.2471955,21
5789153,karnataka,S,5,12,12.099246416666665,75.85240191666668,61
5231283,karnataka,S,10,21,13.555115142857145,77.03914676190477,30
2493067,karnataka,S,4,41,13.35748546341463,77.63036229268285,51
2492746,karnataka,S,2,19,15.754321263157898,76.52211578947369,76
9750846,karnataka,S,9,5,12.5816588,76.890686,7
9362027,karnataka,S,12,51,15.185896294117644,76.14313701960785,322
7341522,karnataka,S,10,28,13.230253571428568,77.24355157142857,62
2480999,karnataka,S,12,6,15.688030666666668,75.836147,8
2480637,karnataka,S,4,19,14.697876263157893,77.1292132631579,19
6065824,karnataka,S,4,17,12.908884705882354,75.09093841176471,19
2474968,karnataka,S,8,6,13.791789000000001,76.58402000000001,9
2473362,karnataka,S,3,24,12.778913041666662,76.02648699999999,70
2474968,karnataka,S,10,14,13.553724285714287,77.12658928571429,14
5789153,karnataka,S,6,7,13.528730999999999,75.22426714285714,10
5232328,karnataka,S,8,14,13.026685857142857,77.16330214285715,23
5739359,karnataka,S,5,20,12.82736965,77.5541021,26
2498255,karnataka,S,3,15,14.440836533333334,76.9710926,522
5229045,karnataka,S,3,8,13.105577375000001,77.578215,10
9584698,karnataka,S,10,7,14.218225142857142,76.70576971428571,7
2480841,karnataka,S,4,6,12.9282525,75.6813035,6
2481207,karnataka,S,12,8,15.191195875000002,76.22587750000001,8
2498036,karnataka,S,11,14,13.437839857142857,76.18633942857142,18
4408796,karnataka,S,12,19,14.055858473684212,75.03296873684208,126
2490283,karnataka,S,4,26,13.157370115384616,76.34922269230772,38
5739357,karnataka,S,5,18,12.962521777777777,77.44957055555557,25
2493967,karnataka,S,5,48,12.976328291666666,75.65054914583337,70
2481835,karnataka,S,12,7,12.540856142857143,76.36270285714285,7
2481240,karnataka,S,11,14,13.569407785714285,74.65766550000001,49
2492557,karnataka,S,4,16,13.6338188125,75.329883375,19
2474628,karnataka,S,10,24,12.963075833333333,76.82013633333334,42
2492634,karnataka,S,9,82,12.550664853658537,75.86617595121947,179
5789286,karnataka,S,2,9,12.868616222222224,74.75225555555555,10
2482003,karnataka,S,5,26,12.858982000000006,74.72803500000003,26
2481768,karnataka,S,4,11,13.647215090909093,74.66700999999999,30
5229199,karnataka,S,3,20,13.641374750000002,74.67963,20
2490307,karnataka,S,2,55,13.59577327272727,76.56491250909089,76
5739290,karnataka,S,12,14,12.750433142857142,74.90523678571431,17
2481621,karnataka,S,1,27,12.97389537037037,74.65255629629628,43
2491521,karnataka,S,3,111,14.726290837837835,75.55127739639644,3770
2493967,karnataka,S,7,28,13.121686107142859,75.67961789285717,40
2480564,karnataka,S,3,12,13.275217333333336,77.64589266666667,12
2480685,karnataka,S,5,9,13.658746,77.41676000000001,9
2492746,karnataka,S,11,23,15.42530113043478,76.7313075652174,42
5788511,karnataka,S,4,36,12.993207361111113,75.5682585,38
2481912,karnataka,S,11,7,13.138728428571428,75.44612571428571,14
2493068,karnataka,S,5,6,13.020696833333332,77.16334816666667,7
2498035,karnataka,S,4,14,13.658797285714286,76.78353635714284,413
5232328,karnataka,S,7,15,13.1416996,77.10723533333335,17
4408796,karnataka,S,1,10,13.727621599999997,74.99247319999999,65
2481912,karnataka,S,10,24,13.303790458333332,75.41623408333336,93
5229171,karnataka,S,2,8,13.398269125000002,77.2213225,9
2490585,karnataka,S,7,43,12.74017088372093,76.9311851860465,396
2481120,karnataka,S,11,19,13.091622157894738,77.44429157894739,20
2490585,karnataka,S,3,9,12.319462777777778,76.70423833333334,75
2481768,karnataka,S,1,15,13.5314856,74.68764933333335,43
2481912,karnataka,S,2,63,12.862148253968247,76.94102388888885,234
2493095,karnataka,S,10,14,12.851450571428572,77.462524,15
2489214,karnataka,S,11,26,12.744666038461542,76.79085346153849,101
5229171,karnataka,S,12,5,13.860097,76.1816988,5
5229419,karnataka,S,8,22,13.519280454545454,74.67126227272726,83
2498259,karnataka,S,12,5,14.6251702,76.68024,13
8028588,karnataka,S,11,18,13.736019499999998,74.7003386111111,35
8028588,karnataka,S,9,21,13.323681904761903,74.69729761904763,40
2480509,karnataka,S,9,23,12.831169260869565,77.47723234782609,23
7340331,karnataka,S,1,5,13.7731536,76.549991,9
5229419,karnataka,S,7,9,13.543775666666669,74.66277333333333,32
5228719,karnataka,S,6,23,13.113088695652175,75.4947965652174,28
2480841,karnataka,S,6,19,13.619604894736842,75.11835747368423,30
2492746,karnataka,S,1,30,15.764492299999999,76.55023136666667,83
2474460,karnataka,S,10,9,14.072349888888887,75.89871555555554,9
2498255,karnataka,S,8,10,13.0658523,77.6028678,13
2480513,karnataka,S,10,15,13.306928000000001,76.85750086666668,17
8000602,karnataka,S,4,7,15.218119000000002,77.1011177142857,125
5231264,karnataka,S,5,12,13.103947833333331,77.50078766666665,16
2498036,karnataka,S,1,11,13.866934909090908,76.18067681818182,11
5231244,karnataka,S,11,6,17.07109483333333,75.99046116666666,6
5789153,karnataka,S,3,16,13.134016249999997,74.833719375,17
2475419,karnataka,S,1,6,12.085949999999999,77.02783,24
2497295,karnataka,S,2,8,15.229285625000001,77.39301124999999,14
7342065,karnataka,S,2,34,14.442491970588232,77.09128694117646,53
2473362,karnataka,S,10,21,12.333856047619046,76.50296066666667,44
2474968,karnataka,S,4,16,13.286768375000001,76.62488593749998,27
2480841,karnataka,S,8,6,12.857789166666668,75.58721833333334,8
2480500,karnataka,S,1,7,13.961234000000003,76.60548800000001,7
5231244,karnataka,S,12,16,16.813580124999998,76.20505118749999,17
2480998,karnataka,S,2,5,14.895479,74.22028,5
9687165,karnataka,S,4,11,14.872025272727274,75.70574,22
2480495,karnataka,S,4,17,14.775248588235295,76.3231682352941,19
5789153,karnataka,S,4,5,13.0025632,75.05746200000002,5
5231244,karnataka,S,1,9,16.99767022222222,76.099536,10
5229261,karnataka,S,11,10,13.9064007,76.00176450000001,15
2481035,karnataka,S,11,12,13.774527833333336,75.23079875,12
2474460,karnataka,S,2,9,12.999816777777776,76.97222355555556,9
2475419,karnataka,S,5,7,12.921577000000001,74.90116642857141,11
2480685,karnataka,S,8,12,12.858787000000001,77.44298791666667,12
2474968,karnataka,S,12,9,13.223332888888889,77.05498888888889,9
2481768,karnataka,S,9,6,13.216916,74.74726416666665,11
2474968,karnataka,S,1,5,12.923600000000002,77.5369176,5
2490264,karnataka,S,5,7,13.591377999999997,77.17231642857143,8
2480564,karnataka,S,2,28,13.407489214285713,77.57567985714286,28
6065824,karnataka,S,10,12,13.359843916666668,74.89980791666667,74
2486789,karnataka,S,2,11,13.369960000000003,77.683174,11
2492865,karnataka,S,11,12,16.13037625,75.60397458333334,13
2474968,karnataka,S,5,7,13.42346114285714,75.39065128571428,11
2480757,karnataka,S,5,13,13.483952999999998,74.72192399999997,13
2481768,karnataka,S,2,17,13.631963294117648,74.67735529411765,91
2490681,karnataka,S,9,12,14.034026000000003,74.55439199999999,158
2492576,karnataka,S,10,15,13.367074,74.78536,15
2474460,karnataka,S,7,14,13.492795642857145,75.44835085714287,15
2480537,karnataka,S,9,13,13.177693153846157,77.35066723076922,13
5232328,karnataka,S,5,11,13.369124,76.96073063636364,13
2498112,karnataka,S,8,5,13.793938400000002,76.3626984,13
5789152,karnataka,S,11,7,12.953889000000002,74.856735,7
2480757,karnataka,S,11,8,13.483953,74.721924,16
2480999,karnataka,S,1,8,15.049047,75.46454187500001,10
2489214,karnataka,S,4,14,13.323915642857141,75.91431535714285,25
2493137,karnataka,S,5,6,13.680554166666667,75.16410166666667,6
2480841,karnataka,S,11,8,13.016165249999998,75.54712124999999,8
2493091,karnataka,S,2,8,15.576700125000002,75.894189375,9
5788504,karnataka,S,9,5,12.651486799999999,75.9702264,5
4408796,karnataka,S,2,5,13.1398338,76.51379560000001,21
2490274,karnataka,S,4,10,13.0915625,76.11764200000002,18
2498255,karnataka,S,7,9,13.068016,77.769264,9
2480513,karnataka,S,3,21,13.59817761904762,77.06085523809524,23
2498180,karnataka,S,3,5,17.835963600000003,77.320272,86
5229171,karnataka,S,11,5,13.447060000000002,77.0610772,5
5231904,karnataka,S,11,6,13.288876166666668,76.30637166666666,8
9362027,karnataka,S,3,9,16.21891377777778,76.50092333333333,163
2474936,karnataka,S,3,11,17.266648727272727,76.88673263636363,1808
5229199,karnataka,S,9,6,13.635149499999999,74.67862,8
2493091,karnataka,S,3,7,14.966439285714285,76.43178428571427,7
2493137,karnataka,S,9,7,13.773650857142854,75.72181285714285,11
2498259,karnataka,S,11,8,13.70745875,74.6261575,10
5231233,karnataka,S,12,5,12.954969199999999,74.857696,5
2490317,karnataka,S,5,6,13.0064355,76.319793,6
5229145,karnataka,S,4,11,13.13582872727273,76.31309454545453,12
2498036,karnataka,S,12,6,14.226676,75.89609766666666,6
2474968,karnataka,S,6,6,13.480925999999998,76.73308750000001,14
5231927,karnataka,S,12,7,13.123442285714289,77.11798000000002,7
2474404,karnataka,S,9,5,12.7960532,75.845145,5
2481912,karnataka,S,9,5,13.14865,77.4879,5
2492846,karnataka,S,8,7,13.879332571428572,76.86648342857143,7
2474460,karnataka,S,1,5,13.273140399999999,76.40459100000001,5
2481120,karnataka,S,9,5,13.14865,77.4879,5
5231245,karnataka,S,10,9,15.226163888888891,76.53628533333332,12
