district,norm_name,display_name,No_HH_1991,TOT_P_1991,TOT_M_1991,TOT_F_1991,P_06_1991,P_SC_1991,P_ST_1991,P_LIT_1991,TOT_WORK_P_1991,MAINWORK_P_1991,MARGWORK_P_1991,NON_WORK_P_1991,first_census,census_count,census_years_str,No_HH_2001,TOT_P_2001,TOT_M_2001,TOT_F_2001,P_06_2001,P_SC_2001,P_ST_2001,P_LIT_2001,TOT_WORK_P_2001,MAINWORK_P_2001,MARGWORK_P_2001,NON_WORK_P_2001,No_HH_2011,TOT_P_2011,TOT_M_2011,TOT_F_2011,P_06_2011,P_SC_2011,P_ST_2011,P_LIT_2011,TOT_WORK_P_2011,MAINWORK_P_2011,MARGWORK_P_2011,NON_WORK_P_2011
Amravati,chandurbazar,Chandurbazar (M),2497.0,14730.0,7540.0,7190.0,2322.0,2058.0,279.0,10159.0,4389.0,4023.0,366.0,9975.0,1991,3,"1991,2001,2011",3070.0,17635.0,8985.0,8650.0,2327.0,2538.0,245.0,13713.0,6069.0,5194.0,875.0,11566.0,3598.0,18759.0,9529.0,9230.0,2006.0,2902.0,318.0,15304.0,6168.0,5023.0,1145.0,12591.0
Amravati,chikhaldara,Chikhaldara (M),659.0,3081.0,1708.0,1373.0,532.0,619.0,929.0,2227.0,807.0,781.0,26.0,2248.0,1991,3,"1991,2001,2011",860.0,4711.0,2787.0,1924.0,570.0,645.0,657.0,3742.0,1393.0,1315.0,78.0,3318.0,948.0,5158.0,2789.0,2369.0,503.0,882.0,1844.0,4277.0,1329.0,910.0,419.0,3829.0
Amravati,daryapur banosa,Daryapur Banosa (M),5566.0,30596.0,15775.0,14821.0,4870.0,5789.0,1972.0,20314.0,10085.0,9529.0,556.0,19955.0,1991,3,"1991,2001,2011",6518.0,34397.0,17758.0,16639.0,4487.0,6708.0,1558.0,26609.0,11315.0,10068.0,1247.0,23082.0,7625.0,36463.0,18590.0,17873.0,3769.0,7086.0,1272.0,29339.0,12456.0,10685.0,1771.0,24007.0
Amravati,dattapur dhamangaon,Dattapur Dhamangaon (M),3912.0,20328.0,10530.0,9798.0,2661.0,2692.0,1360.0,14231.0,6104.0,5621.0,483.0,13741.0,1991,3,"1991,2001,2011",4316.0,21426.0,10926.0,10500.0,2564.0,3318.0,1236.0,16708.0,6816.0,6190.0,626.0,14610.0,4779.0,21059.0,10613.0,10446.0,1909.0,3061.0,909.0,17635.0,7174.0,6404.0,770.0,13885.0
Amravati,morshi,Morshi (M),5957.0,28571.0,14775.0,13796.0,4626.0,2697.0,2151.0,19232.0,9706.0,6811.0,2895.0,15970.0,1991,3,"1991,2001,2011",6842.0,33607.0,17233.0,16374.0,4118.0,3411.0,1977.0,25968.0,11817.0,10076.0,1741.0,21790.0,8268.0,37333.0,19031.0,18302.0,3806.0,3609.0,1957.0,30375.0,13286.0,11336.0,1950.0,24047.0
Amravati,shendurjana,Shendurjana (M),3494.0,19278.0,9968.0,9310.0,2812.0,2156.0,934.0,12596.0,7712.0,6972.0,740.0,10826.0,1991,3,"1991,2001,2011",4195.0,21083.0,10913.0,10170.0,2604.0,2066.0,1236.0,15676.0,8835.0,7904.0,931.0,12248.0,4703.0,21748.0,11227.0,10521.0,2239.0,2738.0,1210.0,17420.0,9426.0,8981.0,445.0,12322.0
Amravati,warud,Warud (M),4937.0,26863.0,13938.0,12925.0,4170.0,3050.0,1365.0,18015.0,9821.0,9513.0,308.0,16734.0,1991,3,"1991,2001,2011",8135.0,41005.0,20944.0,20061.0,5113.0,4186.0,3541.0,31329.0,15671.0,13921.0,1750.0,25334.0,9957.0,45482.0,23182.0,22300.0,4413.0,4952.0,3409.0,37422.0,16970.0,15137.0,1833.0,28512.0
Wardha,arvi,Arvi (M),6819.0,36928.0,18919.0,18009.0,5458.0,5235.0,3009.0,24740.0,12151.0,11642.0,509.0,24268.0,1991,3,"1991,2001,2011",8049.0,40575.0,21015.0,19560.0,4840.0,5415.0,2668.0,31114.0,13785.0,11965.0,1820.0,26790.0,9550.0,42822.0,21958.0,20864.0,4132.0,5836.0,2123.0,35039.0,15827.0,13893.0,1934.0,26995.0
Wardha,deoli,Deoli (M),2690.0,13734.0,6979.0,6755.0,1990.0,1740.0,815.0,8961.0,4848.0,4425.0,423.0,8463.0,1991,3,"1991,2001,2011",3370.0,15878.0,8151.0,7727.0,1968.0,1960.0,995.0,11459.0,6226.0,3616.0,2610.0,9652.0,4527.0,19288.0,9996.0,9292.0,2003.0,2663.0,1324.0,15217.0,8265.0,7394.0,871.0,11023.0
Wardha,hinganghat,Hinganghat (M),15906.0,78715.0,40633.0,38082.0,11161.0,10255.0,7364.0,54998.0,20558.0,19571.0,987.0,57170.0,1991,3,"1991,2001,2011",18976.0,92342.0,47945.0,44397.0,10355.0,11847.0,7124.0,73292.0,26308.0,23354.0,2954.0,66034.0,23409.0,101805.0,52577.0,49228.0,10019.0,14602.0,6030.0,85588.0,34084.0,28913.0,5171.0,67721.0
Wardha,pulgaon,Pulgaon (M),7679.0,39679.0,20761.0,18918.0,5887.0,9555.0,3094.0,27061.0,10769.0,10463.0,306.0,28604.0,1991,3,"1991,2001,2011",7569.0,36522.0,18978.0,17544.0,3821.0,9630.0,1871.0,29102.0,11231.0,8621.0,2610.0,25291.0,7655.0,33925.0,17573.0,16352.0,3175.0,9622.0,1608.0,28051.0,11482.0,10337.0,1145.0,22443.0
Wardha,sindi,Sindi (M),2158.0,11476.0,5934.0,5542.0,1722.0,1183.0,1916.0,7202.0,4155.0,4124.0,31.0,7290.0,1991,3,"1991,2001,2011",2690.0,13052.0,6724.0,6328.0,1611.0,1462.0,1831.0,9544.0,5059.0,3443.0,1616.0,7993.0,2938.0,12858.0,6598.0,6260.0,1312.0,1546.0,970.0,10208.0,5350.0,4542.0,808.0,7508.0
Wardha,wardha,Wardha (M),20440.0,102985.0,53641.0,49344.0,13074.0,14524.0,7516.0,78106.0,26557.0,26216.0,341.0,76087.0,1991,3,"1991,2001,2011",23441.0,111118.0,57499.0,53619.0,12766.0,13929.0,6356.0,88525.0,32919.0,29261.0,3658.0,78199.0,24186.0,106444.0,53697.0,52747.0,10068.0,16386.0,5830.0,90371.0,35304.0,31804.0,3500.0,71140.0
Nagpur,chicholi,Chicholi (Ct),3735.0,17268.0,9099.0,8169.0,3400.0,5578.0,1579.0,10136.0,5036.0,4908.0,128.0,12104.0,1991,3,"1991,2001,2011",3927.0,18478.0,9613.0,8865.0,2316.0,5903.0,1414.0,14498.0,5256.0,4831.0,425.0,13222.0,4122.0,18469.0,9499.0,8970.0,1786.0,6698.0,1391.0,15038.0,6356.0,5536.0,820.0,12113.0
Nagpur,digdoh,Digdoh (Ct),3921.0,17376.0,10016.0,7360.0,3336.0,3284.0,1369.0,11086.0,5902.0,5877.0,25.0,11449.0,1991,3,"1991,2001,2011",8365.0,37016.0,20637.0,16379.0,5593.0,5565.0,2258.0,28704.0,11346.0,10403.0,943.0,25670.0,9640.0,38157.0,20590.0,17567.0,4646.0,7479.0,2434.0,30881.0,13595.0,13036.0,559.0,24562.0
Nagpur,kalameshwar,Kalameshwar (M),2458.0,12451.0,6520.0,5931.0,2069.0,1083.0,2448.0,8235.0,3767.0,3048.0,719.0,7965.0,1991,3,"1991,2001,2011",3710.0,17331.0,9052.0,8279.0,2257.0,1572.0,2218.0,13171.0,6221.0,5516.0,705.0,11110.0,4536.0,19578.0,10047.0,9531.0,1975.0,2016.0,848.0,16154.0,7109.0,6485.0,624.0,12469.0
