district,town_name,display_name,first_census,census_count,lat,lon,geocode_status,geocode_query
Nanded,dharmabad,Dharmabad (M),1991,3,18.921679,77.762348,ok,"Dharmabad, Nanded district, Maharashtra, India"
Nanded,hadgaon,Hadgaon (M),1991,3,19.478617,77.606804,ok,"Hadgaon, Nanded district, Maharashtra, India"
Nanded,kandhar,Kandhar (M),1991,3,18.842451,77.251067,ok,"Kandhar, Nanded district, Maharashtra, India"
Nanded,kinwat,Kinwat (M),1991,3,19.577469,78.244009,ok,"Kinwat, Nanded district, Maharashtra, India"
Nanded,kundalwadi,Kundalwadi (M),1991,3,18.809181,77.76516,ok,"Kundalwadi, Nanded district, Maharashtra, India"
Nanded,loha,Loha (M),1991,3,18.936084,77.101549,ok,"Loha, Nanded district, Maharashtra, India"
Nanded,mudkhed,Mudkhed (M),1991,3,19.13935,77.501393,ok,"Mudkhed, Nanded district, Maharashtra, India"
Nanded,mukhed,Mukhed (M),1991,3,18.575365,77.383925,ok,"Mukhed, Nanded district, Maharashtra, India"
Nanded,nanded,Nanded (M),1991,1,19.172572,77.291412,ok,"Nanded, Nanded district, Maharashtra, India"
Nanded,pethumri,Pethumri (M),1991,1,19.889295,78.17766,ok_photon,"Pathri, Nanded district, Maharashtra, India"
Nanded,waghala,Waghala (M),1991,1,19.035421,77.690683,ok,"Waghala, Nanded district, Maharashtra, India"
Nanded,wajegaon,Wajegaon (Ct),2001,2,19.094009,77.483192,ok_photon,"Wajegaon, Nanded district, Maharashtra, India"
Nanded,nanded-waghala,Nanded-Waghala (M Corp.),2001,1,19.169335,77.311013,ok,"Nanded-Waghala, Nanded district, Maharashtra, India"
Nanded,peth umri,Peth Umri (M Cl),2001,2,19.039759,77.645905,ok,"Peth Umri, Nanded district, Maharashtra, India"
Nanded,gokunda,Gokunda (Ct),2011,1,19.604653,78.208255,ok,"Gokunda, Nanded district, Maharashtra, India"
Nanded,nanded waghala,Nanded Waghala (M Corp.),2011,1,19.169335,77.311013,ok,"Nanded Waghala, Nanded district, Maharashtra, India"
Nanded,dhanegaon,Dhanegaon (Ct),2011,1,19.094009,77.483192,ok_photon,"Dhanegaon, Nanded district, Maharashtra, India"
Nanded,balirampur,Balirampur (Ct),2011,1,19.094009,77.483192,ok_photon,"Balirampur, Nanded district, Maharashtra, India"
Nanded,bhokar,Bhokar (M Cl),2011,1,19.194825,77.683399,ok,"Bhokar, Nanded district, Maharashtra, India"
Nandurbar,talode,Talode (M Cl),2001,2,21.6203,74.231715,ok_photon,"Taloda, Nandurbar district, Maharashtra, India"
Nandurbar,purushottamnagar,Purushottamnagar (Ct),2001,1,21.569453,74.517174,ok,"Purushottamnagar, Nandurbar district, Maharashtra, India"
